bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Raissa,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Bebas Putri,Cintya Nariska,perunggu,1
8,Renang,Kejurnas Antar PPLP/D 2018,200 meter Gaya Ganti Perorangan Putra,Lutfi Lukman,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Ganti Perorangan Putri,Alvia Azzahra,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Sasy Zahrani,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putri,Sasy Zahrani,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Aurel Thallah Devita,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Kupu-kupu Putri,Aurel Thallah Devita,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Punggung Putri,Aurel Thallah Devita,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Alvia Azzahra,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Bebas Putri,Aurel Thallah Devita,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Sasy Zahrani,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Bebas Putri,Sasy Zahrani,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Punggung Putri,Desvita Sicilla Unu,emas,0
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Bebas Putri,Desvita Sicilla Unu,emas,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,La Ode Fikri,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Ganti Perorangan Putri,Widad Audir,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Widad Audir,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri,Widad Audir,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Kupu-kupu Putri,Widad Audir,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Kupu-kupu Putra,M. Adlan Sumori,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,Rico Zelmi,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Asih Setyorini,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Kupu-kupu Putri,Asih Setyorini,emas,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Asih Setyorini,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putri,Nadia Sectio,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri ,Almira Pohaci,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Kupu-kupu Putri,Cintya Nariska,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putra,Rico Zelmi,emas,0
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,Rico Zelmi,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,Jovanta AP,emas,0
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putra,Jovanta AP,emas,0
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Dada Putri,Asih Setyorini,emas,0
